Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Superficie (kilómetros cuadrados),AG.SRF.TOTL.K2,Estados Unidos,USA,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,..
Superficie (kilómetros cuadrados),AG.SRF.TOTL.K2,Unión Europea,EUU,"4384964,99511719","4384984,99511719","4385294,99511719","4385644,99511719","4385414,99511719","4385434,99511719","4385724,99511719","4385704,99511719","4385719,99511719","4385855,99609375","4386039,99023438","4386021,99707031","4383341,99707031","4384062,19238281","4384082,59277344","4384131,57714844","4384317,59277344","4384317,59277344","4384317,59277344",..
Superficie (kilómetros cuadrados),AG.SRF.TOTL.K2,Japón,JPN,377800,377880,377890,377900,377910,377910,377920,377930,377940,"377946,9921875",377950,377955,377960,"377961,9921875","377961,9921875","377971,015625",377970,377970,377970,..
Superficie (kilómetros cuadrados),AG.SRF.TOTL.K2,Mundo,WLD,"131606512,293178","131606902,668177","131607327,418178","131607728,793148","131605872,77708","131607830,159892","131608165,134891","131608206,109878","131807675,133315","131805348,055386","131805574,218215","131805826,432909","131803288,425096","132047813,110236","132046109,51847","132048793,077485","132036620,811879","132036620,811879","132025199,411879",..
"INB, método Atlas (US$ a precios actuales)",NY.GNP.ATLS.CD,Estados Unidos,USA,"10147603801972,1","10462204209818,2","10732675433275,6","11536447371063,5","12740511355508,5","13651359826763,6","14285630945718,5",14608317798282,"14894712325833,9","14643696781531,1","15154198695429,4","15756881924473,8","16560497008306,3",17048936792647,"17776476297335,5",18191395170921,"18467339419486,5","19194752830167,1","20636317813893,1",..
"INB, método Atlas (US$ a precios actuales)",NY.GNP.ATLS.CD,Unión Europea,EUU,"7922739957040,18","7639017402698,37","7515657598848,96","8523562906388,89","10408524663469,9","12019963315038,8","12933305815644,9","13880684138736,7","15126465192403,1","15217828701351,6","15324165275355,3","15512137752735,6",15230455669052,"15405595055533,9","15431659405717,7","14851494200811,2","14341337851793,5",14188699533990,15400516895732,..
"INB, método Atlas (US$ a precios actuales)",NY.GNP.ATLS.CD,Japón,JPN,"4595162800787,34","4675882499303,02","4434184873540,57","4479549240351,11","4899554578633,61","5182637712714,9","5105064678226,86","4959300110562,37","4975181428117,34","4967603590411,75","5562857597245,51","5992371028553,94","6315107709544,04","6152741865330,52","5593496346714,75","4937689703849,62","4811002750189,15","4877472155240,56","5226599302149,56",..
"INB, método Atlas (US$ a precios actuales)",NY.GNP.ATLS.CD,Mundo,WLD,"33561947316609,4","33848117667858,6","34017960211925,8",36997067184470,"42684534716336,2","47889487891691,6","51727094199598,1","55816858147447,6","60496591262737,3","61441779950219,8","65150970812259,6","69342571298832,1","74383298496300,8","77972927926451,3","79770040509575,4",78222524504821,"77193341607078,5","78477732850440,6","84467096108959,9",..
"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,Estados Unidos,USA,35960,36710,37310,39770,43510,46190,47880,48500,48980,47730,48990,50570,52770,53950,55850,56740,57180,59060,63170,..
"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,Unión Europea,EUU,"18453,789275043","17769,4698553631","17442,4983536766","19711,491038236","23980,5524929949","27595,1823592184","29595,7976133777","31657,2052598014","34387,9684613671","34513,9812939092","34706,7731810261","35195,1087526818","34505,2017132139","34817,3061990391","34789,1597843544","33408,3965866927","32192,6332967221","31803,7978286299","34469,5375328625",..
